StationID,StationName,DisplayName,Latitude,Longitude,Elevation,City,ZipCode,TzTimeZone,StateCode,StateDesc,CountryCode,CountryDesc,CountyName
33222,KXSA,Tappahannock-Essex County Airport ,37.8596,-76.8941,135,Tappahannock,22454,US/Eastern,VA,Virginia,US,United States of America,Essex
31524,KHWY,Warrenton-Fauquier Airport - SE of Midland,38.5862,-77.7106,336,Midland,22728,US/Eastern,VA,Virginia,US,United States of America,Fauquier
4061,KOFP,Hanover County Municipal Airport,37.7,-77.43,207,Ashland,23227,US/Eastern,VA,Virginia,US,United States of America,Hanover
4335,KRIC,Richmond International Airport,37.5051,-77.3196,167,Richmond,23250,US/Eastern,VA,Virginia,US,United States of America,Henrico
3907,KMTV,Martinsville Reporting Station,36.63,-80.02,942,Martinsville,24165,US/Eastern,VA,Virginia,US,United States of America,Henry
45077,K0VG,Lee County Airport,36.654,-83.2178,1411,Jonesville ,24263,US/Eastern,VA,Virginia,US,United States of America,Lee
3501,KIAD,Washington-Dulles International Airport,38.9474,-77.4599,312,Washington DC,20166,US/Eastern,VA,Virginia,US,United States of America,Loudoun
3610,KJYO,Leesburg Excutive Airport,39.078,-77.5575,390,Leesburg,20177,US/Eastern,VA,Virginia,US,United States of America,Loudoun
3694,KLKU,Louisa,38.01,-77.97,495,Louisa,23093,US/Eastern,VA,Virginia,US,United States of America,Louisa
11647,KFYJ,,37.52,-76.76,7,"WEST POINT,",23011,US/Eastern,VA,Virginia,US,United States of America,Middlesex
2738,KBCB,Virginia Tech Airport,37.2076,-80.4078,2133,Blacksburg,24061,US/Eastern,VA,Virginia,US,United States of America,Montgomery
4088,KOMH,Orange,38.25,-78.05,466,Orange,22960,US/Eastern,VA,Virginia,US,United States of America,Orange
43579,KW45,Luray Caverns Airport - NW of Luray,38.667,-78.5005,902,Luray,22835,US/Eastern,VA,Virginia,US,United States of America,Page
3282,KFVX,Farmville Reporting Station,37.35,-78.43,410,Farmville,23901,US/Eastern,VA,Virginia,US,United States of America,Prince Edward
4260,KPSK,Dublin-New River Valley,37.13,-80.68,2106,Dublin,24084,US/Eastern,VA,Virginia,US,United States of America,Pulaski
4361,KROA,Roanoke Regional Airport,37.32,-79.97,1191,Roanoke,24019,US/Eastern,VA,Virginia,US,United States of America,Roanoke
3836,KMKJ,Marion-Wytheville Reporting Station,36.9,-81.35,2559,Marion,24311,US/Eastern,VA,Virginia,US,United States of America,Smyth
4035,KNYG,Quantico Marine Corps Airfield/Turner Field,38.5036,-77.305,10,Quantico,22135,US/Eastern,VA,Virginia,US,United States of America,Stafford
11648,KRMN,,38.3981,-77.4555,213,"STAFFORD,",22554,US/Eastern,VA,Virginia,US,United States of America,Stafford
4451,KSFQ,Suffolk Municipal Airport,36.68,-76.6,72,Suffolk,23888,US/Eastern,VA,Virginia,US,United States of America,Surry
2639,KAKQ,Wakefield Municipal Airport,36.99,-77,210,Wakefield,23888,US/Eastern,VA,Virginia,US,United States of America,Surry
36689,KJFZ,Tazewell County Airport,37.06,-81.8,2653,Richlands,24609,US/Eastern,VA,Virginia,,,Tazewell
4748,KVJI,Abington Reporting Station,36.68,-82.03,2070,Abington,24210,US/Eastern,VA,Virginia,US,United States of America,Washington
3706,KLNP,Wise-Lonesome Pine Reporting Station,36.9875,-82.53,2684,Wise,24230,US/Eastern,VA,Virginia,US,United States of America,Wise
3202,KFAF,Fort Eustis-Felker Reporting Station,37.13,-76.62,13,Fort Eustis,23608,US/Eastern,VA,Virginia,US,United States of America,York
3015,KDAA,Davison Army Airfield,38.715,-77.181,69,Fort Belvoir,22060,US/Eastern,VA,Virginia,US,United States of America,Alexandria City
2907,KCHO,Charlottesville-Albemarle Airport,38.1386,-78.4528,639,Charlottesville,22936,US/Eastern,VA,Virginia,US,United States of America,Charlottesville City
3464,KHSP,Hot Springs-Ingalls Reporting Station,37.9514,-79.8339,3793,Hot Springs,24445,US/Eastern,VA,Virginia,US,United States of America,Clifton Forge City
